FileName,Fragment,MN Relative Abundance,Average,StdDev,StdError,RelStdError,ShotNoise,Tic,TicVar,File Type,RSE over SN,IsotopeRatio
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_07_Alanine_C1-1_M1_rep1.isox,44,13C,0.6736778626094397,0.00785675928088768,9.298102755018237e-05,0.00013802001328947855,0.00022591108501176,1330287.791456584,0.0,Smp,0.6109483883107985,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_12_Alanine_Unlab_M1_rep4.isox,44,Unsub,0.18472197313234798,0.0066694360601126336,8.210130289434905e-05,0.00044445878041550496,0.0003672583625587371,1188845.1611607808,0.0,Std,1.2102073791292387,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_10_Alanine_Unlab_M1_rep3.isox,44,Unsub,0.1851638993014586,0.006816987241111842,8.26620352020075e-05,0.0004464263040141991,0.0003705908293870666,1238635.1146301988,0.0,Std,1.2046339752998192,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_08_Alanine_Unlab_M1_rep2.isox,44,Unsub,0.18562540272293782,0.006908513513731104,8.295859320123035e-05,0.00044691401060582923,0.0003705861780864346,1275636.5867627957,0.0,Std,1.2059651358653536,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_06_Alanine_Unlab_M1_rep1.isox,44,Unsub,0.18683920510718077,0.007132772999285674,8.297288359838058e-05,0.0004440871151789743,0.0003703261239166159,1402202.205751018,0.0,Std,1.1991784713491256,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_11_Alanine_C1-1_M1_rep3.isox,44,Unsub,0.18940580824088812,0.0067907999251997555,8.298760147648049e-05,0.0004381470782085841,0.00035721451538387394,1211639.685498803,0.0,Smp,1.2265657170670612,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_07_Alanine_C1-1_M1_rep1.isox,44,Unsub,0.19068245178796625,0.006899600122019223,8.165350192047996e-05,0.00042821718073604624,0.00035815775141230055,1330287.791456584,0.0,Smp,1.1956105348760004,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_12_Alanine_Unlab_M1_rep4.isox,44,D,0.026030885173961276,0.0025875149043712857,3.1852519912132104e-05,0.0012236433643829452,0.0009104735371149242,1188845.1611607808,0.0,Std,1.343963678791129,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_10_Alanine_Unlab_M1_rep3.isox,44,D,0.02600773282456231,0.0026339645954804435,3.193916409280745e-05,0.0012280641418556623,0.0009201180491311395,1238635.1146301988,0.0,Std,1.334681069472894,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_08_Alanine_Unlab_M1_rep2.isox,44,D,0.026006322282666222,0.002729284532928031,3.2773708099081994e-05,0.001260220793346331,0.0009210219779984067,1275636.5867627957,0.0,Std,1.3682852564333823,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_06_Alanine_Unlab_M1_rep1.isox,44,D,0.02595495060750096,0.002773590161723969,3.226413817759006e-05,0.0012430822414381997,0.0009237869279597378,1402202.205751018,0.0,Std,1.3456374016718906,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_11_Alanine_C1-1_M1_rep3.isox,44,D,0.025843311272532567,0.0025993279980344912,3.1765329325499e-05,0.0012291509006146831,0.000898185789402854,1211639.685498803,0.0,Smp,1.3684817942085976,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_09_Alanine_C1-1_M1_rep2.isox,44,D,0.025861422877616703,0.0025967684996286724,3.1343291146010805e-05,0.0012119708685146907,0.000898579715784652,1256217.7768210974,0.0,Smp,1.3487627722114575,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_07_Alanine_C1-1_M1_rep1.isox,44,D,0.02586071627858412,0.002715596528230023,3.213779964224731e-05,0.0012427265856074293,0.0009027244470910317,1330287.791456584,0.0,Smp,1.3766400030618773,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_09_Alanine_C1-1_M1_rep2.isox,44,Unsub,0.18983755858751128,0.006820631004727246,8.232579200311623e-05,0.00043366440558792636,0.00035713401178832195,1256217.7768210974,0.0,Smp,1.2142904099679115,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_10_Alanine_Unlab_M1_rep3.isox,44,15N,0.11047557266979306,0.005065397719498472,6.142245390693428e-05,0.0005559822178113841,0.0004643975069098965,1238635.1146301988,0.0,Std,1.1972118918357093,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_12_Alanine_Unlab_M1_rep4.isox,44,15N,0.1106876974077557,0.0050174796600063395,6.176558461907784e-05,0.0005580167088628048,0.0004593880205269137,1188845.1611607808,0.0,Std,1.2146958212422798,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_09_Alanine_C1-1_M1_rep2.isox,44,13C,0.674315903631751,0.007841188337569858,9.464403508834171e-05,0.0001403556323951504,0.00022477580045591257,1256217.7768210974,0.0,Smp,0.6244250142162421,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Smp\20211006_11_Alanine_C1-1_M1_rep3.isox,44,13C,0.6746844943339518,0.007633018726368828,9.328001459382943e-05,0.00013825723783072175,0.00022458822712247083,1211639.685498803,0.0,Smp,0.6156032290834564,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_08_Alanine_Unlab_M1_rep2.isox,44,13C,0.6778806382330343,0.007915172391103327,9.504672245426663e-05,0.00014021159049772494,0.0002306996321179163,1275636.5867627957,0.0,Std,0.6077668577557996,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_10_Alanine_Unlab_M1_rep3.isox,44,13C,0.6783527952041851,0.007800602847525651,9.458924952804766e-05,0.00013943961047521911,0.00023039735611466857,1238635.1146301988,0.0,Std,0.6052135876325774,
C:\Users\tacse\Documents\Isotomics-Automated\Processed Data\Test_Data_Output\44\Std\20211006_06_Alanine_Unlab_M1_rep1.isox,44,13C,0.6770160084625397,0.008143858243919309,9.473446052217002e-05,0.00013992942461922865,0.00023125795161122733,1402202.205751018,0.0,Std,0.6050794087049036,
